,xPos,yPos,zPos,Efficiency
486,90.0,510.0,0.0,0.00011855
487,90.0,520.0,0.0,0.00011805
488,90.0,530.0,0.0,0.00011465
489,90.0,540.0,0.0,0.0001116
490,90.0,550.0,0.0,0.0001067
491,90.0,560.0,0.0,0.0001038
492,90.0,570.0,0.0,0.0001
493,90.0,580.0,0.0,9.405e-05
494,90.0,590.0,0.0,9.695e-05
495,90.0,600.0,0.0,8.84e-05
496,90.0,610.0,0.0,8.63e-05
497,90.0,620.0,0.0,8.51e-05
498,90.0,630.0,0.0,8.17e-05
499,90.0,640.0,0.0,8.075e-05
500,100.0,150.0,0.0,0.0008757
501,100.0,160.0,0.0,0.00080215
502,100.0,170.0,0.0,0.00073155
503,100.0,180.0,0.0,0.00068615
504,100.0,190.0,0.0,0.0006327
505,100.0,200.0,0.0,0.00058125
506,100.0,210.0,0.0,0.00053955
507,100.0,220.0,0.0,0.000513
508,100.0,230.0,0.0,0.0004753
509,100.0,240.0,0.0,0.00044575
510,100.0,250.0,0.0,0.0004221
511,100.0,260.0,0.0,0.00039325
512,100.0,270.0,0.0,0.00037055
513,100.0,280.0,0.0,0.00035375
514,100.0,290.0,0.0,0.0003342
515,100.0,300.0,0.0,0.0003133
516,100.0,310.0,0.0,0.00029815
517,100.0,320.0,0.0,0.00028095
518,100.0,330.0,0.0,0.00026375
519,100.0,340.0,0.0,0.00025665
520,100.0,350.0,0.0,0.0002389
521,100.0,360.0,0.0,0.00022905
522,100.0,370.0,0.0,0.00022085
523,100.0,380.0,0.0,0.0002064
524,100.0,390.0,0.0,0.00019915
525,100.0,400.0,0.0,0.0001935
526,100.0,410.0,0.0,0.00017705
527,100.0,420.0,0.0,0.0001695
528,100.0,430.0,0.0,0.0001698
529,100.0,440.0,0.0,0.00016
530,100.0,450.0,0.0,0.00015285
531,100.0,460.0,0.0,0.00014885
532,100.0,470.0,0.0,0.0001378
533,100.0,480.0,0.0,0.0001362
534,100.0,490.0,0.0,0.00012625
535,100.0,500.0,0.0,0.00012475
536,100.0,510.0,0.0,0.00011935
537,100.0,520.0,0.0,0.0001198
538,100.0,530.0,0.0,0.0001162
539,100.0,540.0,0.0,0.00011115
540,100.0,550.0,0.0,0.0001045
541,100.0,560.0,0.0,0.0001034
542,100.0,570.0,0.0,9.95e-05
543,100.0,580.0,0.0,9.625e-05
544,100.0,590.0,0.0,9.405e-05
545,100.0,600.0,0.0,9.615e-05
546,100.0,610.0,0.0,9.04e-05
547,100.0,620.0,0.0,8.365e-05
548,100.0,630.0,0.0,8.045e-05
549,100.0,640.0,0.0,8.04e-05
550,100.0,650.0,0.0,8.105e-05
